Name,ICO,Max,ROI
Rise,0.0,1.62962,N/A
Digitex Futures,0.0,0.0151579,N/A
Myriad,0.0,0.0530952,N/A
Nexium,0.0,0.765776,N/A
Remme,0.0,0.0350295,N/A
B2BX,0.74,1.76564,138.60%
Swarm City,0.0,5.77847,N/A
Zap,0.0,1.47622,N/A
Bee Token,0.0,0.270567,N/A
Sprouts,0.0,0.00125483,N/A
OKCash,0.0,0.736665,N/A
Profile Utility Token,0.0,2.82093,N/A
Musicoin,0.0,0.114717,N/A
NeosCoin,0.0,16.5249,N/A
DubaiCoin,0.0,42.543,N/A
Patientory,0.0,1.61599,N/A
Golos,0.0,1.56141,N/A
The ChampCoin,0.0,0.271083,N/A
Bulwark,0.0,17.3373,N/A
Flixxo,0.0934,0.923278,888.52%
Morpheus Labs,0.0,0.0951164,N/A
Leverj,0.15,0.420107,180.07%
Effect.AI,0.0,0.0827132,N/A
Gambit,0.0,33.6357,N/A
Debitum,0.0,0.103481,N/A
ATN,0.0,1.99731,N/A
Devery,0.17,0.435859,156.38%
U.CASH,0.0,0.218963,N/A
Local World Forwarders,0.0,0.11004,N/A
Stipend,0.0,2.07499,N/A
BitDegree,0.0719,0.555279,672.29%
Hubii Network,0.33,1.73084,424.49%
CoinFi,0.1,0.350332,250.33%
Energycoin,0.0,0.49282,N/A
BitTube,0.0,0.412514,N/A
CVCoin,0.0,3.332,N/A
Mintcoin,0.0,0.0029308,N/A
Dynamic,0.0,7.01627,N/A
FoldingCoin,0.0,0.100929,N/A
Helbiz,0.0,0.0345092,N/A
Novacoin,0.0,26.1265,N/A
XPA,0.0,0.381688,N/A
Stealth,0.0,1.5808,N/A
Lendingblock,0.02,0.0383265,91.63%
CargoX,0.0,0.268281,N/A
Pandacoin,0.0,0.0021769,N/A
WeTrust,0.0,1.27158,N/A
EXRNchain,0.0,0.000178356,N/A
InsurePal,0.1,0.423899,323.89%
Bounty0x,0.0165,0.928698,5528.47%
EncrypGen,0.0,1.95293,N/A
Nimiq Exchange Token,0.0,7.83252,N/A
AdShares,0.0,2.18362,N/A
Loki,0.68,0.93247,37.12%
LatiumX,0.0,0.131531,N/A
NaPoleonX,0.87,0.60024,-31.00%
GoldCoin,0.0,0.493526,N/A
PinkCoin,0.0,0.106525,N/A
ATBCoin,0.0,1.52424,N/A
LIFE,0.0,0.00708919,N/A
adbank,0.0465,0.0408347,-12.18%
Leadcoin,0.0,0.122473,N/A
ToaCoin,0.0,0.0128574,N/A
Pluton,0.0,31.1224,N/A
Mysterium,0.0,4.52047,N/A
GET Protocol,0.0,7.03917,N/A
Oyster Shell,0.0,0.174213,N/A
Spectrecoin,0.0,5.51268,N/A
Snovio,0.01,0.418784,4087.84%
SportyCo,0.0,0.741382,N/A
AidCoin,0.65,0.791726,21.80%
InvestFeed,0.0,0.328252,N/A
IDEX Membership,0.0,11139.8,N/A
Dovu,0.0,1.13634,N/A
Global Currency Reserve,0.0,0.468757,N/A
Curecoin,0.0,1.18173,N/A
Insights Network,0.18,0.173463,-3.63%
Change,0.0,1.8451,N/A
ConnectJob,0.0,0.109147,N/A
HEAT,0.0,2.14763,N/A
Zilla,0.0,0.49317,N/A
ALIS,0.0983,1.24993,1171.54%
Sphere,0.0,11.1494,N/A
Aventus,3.4,6.84969,101.46%
Gladius Token,0.0,1.61382,N/A
Xaurum,0.0,1533.96,N/A
Dotcoin,0.0,0.083101,N/A
IP Exchange,0.0122,0.0168541,38.14%
Solaris,0.0,47.6668,N/A
Payfair,0.0,0.506605,N/A
Global Cryptocurrency,0.0,0.391392,N/A
Worldcore,0.0,0.553342,N/A
Zippie,0.0,0.111418,N/A
Bitcrystals,0.0,1.62697,N/A
Ink Protocol,0.13,0.129244,-0.58%
AirToken,0.02,0.0847465,323.73%
OBITS,0.0,3.57086,N/A
Dero,0.0,5.00729,N/A
Pirl,0.0,4.12748,N/A
